key	freq	prob	cfreq	cprob	count	cfrac
4100	635	0.0007208	616213	0.6995	334	0.01521
12033	633	0.0007186	616846	0.7002	335	0.01525
15008	630	0.0007152	617476	0.7009	336	0.0153
27438	629	0.000714	618105	0.7017	337	0.01535
8622	622	0.0007061	618727	0.7024	338	0.01539
14324	621	0.0007049	619348	0.7031	339	0.01544
24186	619	0.0007027	619967	0.7038	340	0.01548
3895	617	0.0007004	620584	0.7045	341	0.01553
1204	611	0.0006936	621195	0.7052	342	0.01557
2036	610	0.0006925	621805	0.7059	343	0.01562
8167	610	0.0006925	622415	0.7065	344	0.01566
3793	604	0.0006856	623019	0.7072	345	0.01571
22761	602	0.0006834	623621	0.7079	346	0.01576
3870	601	0.0006822	624222	0.7086	347	0.0158
435	601	0.0006822	624823	0.7093	348	0.01585
22220	595	0.0006754	625418	0.71	349	0.01589
21170	594	0.0006743	626012	0.7106	350	0.01594
28697	592	0.000672	626604	0.7113	351	0.01598
27052	590	0.0006698	627194	0.712	352	0.01603
4332	588	0.0006675	627782	0.7126	353	0.01607
26148	588	0.0006675	628370	0.7133	354	0.01612
24645	584	0.0006629	628954	0.714	355	0.01617
13365	583	0.0006618	629537	0.7146	356	0.01621
606	583	0.0006618	630120	0.7153	357	0.01626
28865	583	0.0006618	630703	0.716	358	0.0163
20967	580	0.0006584	631283	0.7166	359	0.01635
13242	577	0.000655	631860	0.7173	360	0.01639
15247	575	0.0006527	632435	0.7179	361	0.01644
11539	571	0.0006482	633006	0.7186	362	0.01648
9263	569	0.0006459	633575	0.7192	363	0.01653
19241	568	0.0006448	634143	0.7199	364	0.01657
3830	567	0.0006436	634710	0.7205	365	0.01662
4509	563	0.0006391	635273	0.7211	366	0.01667
23220	562	0.000638	635835	0.7218	367	0.01671
2432	561	0.0006368	636396	0.7224	368	0.01676
2653	559	0.0006346	636955	0.7231	369	0.0168
27770	557	0.0006323	637512	0.7237	370	0.01685
15986	556	0.0006312	638068	0.7243	371	0.01689
15308	553	0.0006278	638621	0.7249	372	0.01694
28413	550	0.0006243	639171	0.7256	373	0.01698
14554	546	0.0006198	639717	0.7262	374	0.01703
4445	540	0.000613	640257	0.7268	375	0.01708
2669	535	0.0006073	640792	0.7274	376	0.01712
29836	529	0.0006005	641321	0.728	377	0.01717
7406	522	0.0005926	641843	0.7286	378	0.01721
7460	520	0.0005903	642363	0.7292	379	0.01726
18009	518	0.000588	642881	0.7298	380	0.0173
9791	516	0.0005857	643397	0.7304	381	0.01735
23474	516	0.0005857	643913	0.731	382	0.01739
11688	515	0.0005846	644428	0.7315	383	0.01744
7959	512	0.0005812	644940	0.7321	384	0.01749
9202	507	0.0005755	645447	0.7327	385	0.01753
14541	502	0.0005699	645949	0.7333	386	0.01758
14083	500	0.0005676	646449	0.7338	387	0.01762
29468	498	0.0005653	646947	0.7344	388	0.01767
16137	497	0.0005642	647444	0.735	389	0.01771
28238	490	0.0005562	647934	0.7355	390	0.01776
19702	489	0.0005551	648423	0.7361	391	0.0178
4156	485	0.0005506	648908	0.7366	392	0.01785
7304	484	0.0005494	649392	0.7372	393	0.0179
18856	481	0.000546	649873	0.7377	394	0.01794
23024	472	0.0005358	650345	0.7383	395	0.01799
17267	469	0.0005324	650814	0.7388	396	0.01803
15853	466	0.000529	651280	0.7393	397	0.01808
24613	464	0.0005267	651744	0.7398	398	0.01812
4704	460	0.0005222	652204	0.7404	399	0.01817
14916	457	0.0005188	652661	0.7409	400	0.01821
14452	454	0.0005154	653115	0.7414	401	0.01826
5004	451	0.000512	653566	0.7419	402	0.01831
1155	450	0.0005108	654016	0.7424	403	0.01835
26919	450	0.0005108	654466	0.7429	404	0.0184
27994	449	0.0005097	654915	0.7434	405	0.01844
22886	444	0.000504	655359	0.7439	406	0.01849
20682	444	0.000504	655803	0.7444	407	0.01853
13486	440	0.0004995	656243	0.7449	408	0.01858
18902	439	0.0004983	656682	0.7454	409	0.01862
8962	437	0.0004961	657119	0.7459	410	0.01867
20263	435	0.0004938	657554	0.7464	411	0.01871
8596	434	0.0004927	657988	0.7469	412	0.01876
16933	432	0.0004904	658420	0.7474	413	0.01881
25783	428	0.0004859	658848	0.7479	414	0.01885
15050	427	0.0004847	659275	0.7484	415	0.0189
17919	423	0.0004802	659698	0.7489	416	0.01894
4998	422	0.000479	660120	0.7494	417	0.01899
26350	422	0.000479	660542	0.7498	418	0.01903
23121	420	0.0004768	660962	0.7503	419	0.01908
5356	420	0.0004768	661382	0.7508	420	0.01912
26198	419	0.0004756	661801	0.7513	421	0.01917
17146	418	0.0004745	662219	0.7517	422	0.01922
11429	417	0.0004734	662636	0.7522	423	0.01926
26191	417	0.0004734	663053	0.7527	424	0.01931
15928	417	0.0004734	663470	0.7532	425	0.01935
14893	416	0.0004722	663886	0.7536	426	0.0194
26437	412	0.0004677	664298	0.7541	427	0.01944
7203	412	0.0004677	664710	0.7546	428	0.01949
28712	411	0.0004666	665121	0.755	429	0.01953
16827	408	0.0004632	665529	0.7555	430	0.01958
1948	408	0.0004632	665937	0.756	431	0.01963
27921	407	0.000462	666344	0.7564	432	0.01967
12094	405	0.0004597	666749	0.7569	433	0.01972
8706	404	0.0004586	667153	0.7573	434	0.01976
14197	403	0.0004575	667556	0.7578	435	0.01981
12470	402	0.0004563	667958	0.7582	436	0.01985
25278	400	0.0004541	668358	0.7587	437	0.0199
23400	399	0.0004529	668757	0.7592	438	0.01994
16032	399	0.0004529	669156	0.7596	439	0.01999
20957	395	0.0004484	669551	0.7601	440	0.02004
7391	394	0.0004473	669945	0.7605	441	0.02008
24027	390	0.0004427	670335	0.7609	442	0.02013
28785	387	0.0004393	670722	0.7614	443	0.02017
5807	386	0.0004382	671108	0.7618	444	0.02022
8519	384	0.0004359	671492	0.7623	445	0.02026
28574	381	0.0004325	671873	0.7627	446	0.02031
